num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BW87P9slHjl/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|0|1|0|1|0|0|0|1|https://www.instagram.com/p/BW8BgCqlM3i/?taken-by=thedriftcollective
0|b|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BW6gAehlc-x/?taken-by=thedriftcollective
2|a|0|1|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BW2uGY_FqnM/?taken-by=thedriftcollective
0|a|1|0|0|1|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BW0nS6plxJD/?taken-by=thedriftcollective
2|a|2|1|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BWwGvIOFs2X/?taken-by=thedriftcollective
15|b|2|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BWtXXL5lqHi/?taken-by=thedriftcollective
0|d|2|0|0|1|0|0|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BWsAmuoFzoz/?taken-by=thedriftcollective
1|a|1|0|0|0|0|1|0|1|1|1|0|0|1|0|https://www.instagram.com/p/BWrA9jzFBcl/?taken-by=thedriftcollective
0|b|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BWoJqo3FeAo/?taken-by=thedriftcollective
1|c|0|0|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BWoJqo3FeAo/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BWfQF7qFdND/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|1|1|1|0|0|0|0|https://www.instagram.com/p/BWbVbuqFkDf/?taken-by=thedriftcollective
1|d|1|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BWYswDjlLS8/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BWViZXSFdrJ/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BWQYijYl-og/?taken-by=thedriftcollective
1|b|0|1|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BWNlASxlV0l/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|0|1|0|1|0|0|0|1|https://www.instagram.com/p/BWG4OPOlQ27/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|1|1|0|0|1|0|https://www.instagram.com/p/BWDlh7nldUo/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BV5DIDCFDXS/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BV2RbHDFXB5/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BV0G8DZlL8E/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BVupEJ4lx9K/?taken-by=thedriftcollective
2|a|1|0|0|0|0|1|0|1|0|1|0|0|1|0|https://www.instagram.com/p/BVtPNZpljfi/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|0|1|1|0|1|0|0|https://www.instagram.com/p/BVp3l6jlJx7/?taken-by=thedriftcollective
1|a|0|0|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BVn7zSUFfgv/?taken-by=thedriftcollective
